"loan_amnt","int_rate","annual_inc","dti","delinq_2yrs","inq_last_6mths","pub_rec","revol_util","total_acc","term_36 months","term_60 months","region_Midwest","region_Northeast","region_South","region_West","grade_A","grade_B","grade_C","grade_D","grade_E","grade_F","grade_G","emp_length_0-3 years","emp_length_4-6 years","emp_length_7-9 years","emp_length_10+ years","home_ownership_MORTGAGE","home_ownership_OWN","home_ownership_RENT","verification_status_Not Verified","verification_status_Source Verified","verification_status_Verified","purpose_group_Big Purchase","purpose_group_Debt","purpose_group_Home","purpose_group_Medical/Other","unpaid_loan"
10000,0.1527,42000,18.6,0,2,0,0.702,28,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
3600,0.0603,110000,10.52,0,0,0,0.16,42,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
6000,0.1171,84000,18.44,2,0,0,0.3773,14,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
9200,0.0603,77385.19,9.86,0,0,0,0.231,28,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
20250,0.1527,43370,26.53,0,3,0,0.856,22,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
21000,0.1242,105000,13.22,0,0,0,0.903,38,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
10000,0.1171,50000,11.18,0,0,0,0.824,21,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
10000,0.1171,50000,16.01,0,0,0,0.918,17,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
6000,0.1171,76000,2.4,0,1,0,0.297,7,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
15000,0.0991,92000,29.44,0,0,0,0.939,31,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
15000,0.1427,60000,15.22,0,1,0,0.576,11,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1
5000,0.1677,50004,13.97,3,0,0,0.595,22,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
4000,0.1171,106000,5.63,1,0,0,0.377,44,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
8500,0.1171,25000,12.19,0,0,0,0.591,12,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
4375,0.0751,17108,20.34,0,0,0,0.869,12,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
31825,0.079,75000,14.03,0,0,0,0.274,26,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
5000,0.089,24044,11.93,0,0,0,0.293,16,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
7000,0.1596,34000,6.35,0,1,0,0.605,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
12400,0.1065,41000,11.8,0,2,0,0.572,12,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
10800,0.0991,55596,5.5,0,0,0,0.133,18,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
15000,0.079,45000,8.48,0,0,0,0.504,27,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
6000,0.1242,36852,10.62,0,1,0,0.665,12,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
9600,0.0751,68004,6.63,0,0,0,0.181,11,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
12000,0.079,62300,16.7,0,0,0,0.21,25,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
3000,0.1825,65000,17.39,0,0,0,0.981,22,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
4400,0.1677,55000,20.01,0,0,0,0.99,11,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
6000,0.0603,45600,5.34,0,1,0,0.325,28,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
14000,0.0991,80000,10,0,1,0,0.134,40,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
5000,0.089,1e+05,16.33,0,0,0,0.621,35,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
10000,0.1065,27000,11.47,0,0,0,0.523,10,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
10000,0.0603,60000,12.74,0,1,0,0.195,18,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
11000,0.0662,70000,10.85,0,0,0,0.364,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
15000,0.0991,80000,9.12,0,2,0,0.637,28,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
25600,0.0991,110000,15.71,0,0,0,0.62,27,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
7000,0.1065,40000,7.38,0,0,0,0.929,12,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
12000,0.1596,50000,20.88,0,2,0,0.908,11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1
12000,0.0991,46000,8.11,0,1,0,0.521,12,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
21000,0.1991,50000,21.58,0,1,0,0.976,14,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
16000,0.1991,81000,20.52,0,3,0,0.751,21,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
10000,0.1242,39000,18.58,0,0,0,0.727,10,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
10000,0.1065,51400,19.14,0,3,0,0.591,24,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
7100,0.1677,33000,24,0,2,0,0.912,8,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
13000,0.1269,30000,13.72,0,0,0,0.589,27,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
17500,0.1727,40000,19.47,0,1,0,0.589,6,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
17675,0.1465,50000,16.46,0,2,0,0.574,14,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
8000,0.1677,62000,21.64,0,3,0,0.669,20,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
10000,0.1065,45996,21.73,0,1,0,0.301,15,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
3500,0.1065,55000,5.39,0,1,0,0.459,12,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
12500,0.1727,30000,13.16,0,0,1,0.708,28,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
16425,0.1427,44544,22.71,0,1,0,0.834,18,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
8200,0.2128,75000,12.48,0,3,0,0.739,11,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1
15000,0.1465,61000,11.88,0,1,0,0.795,18,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
20975,0.1758,44000,18.79,0,0,1,0.794,21,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
6400,0.1677,75000,20.22,0,0,0,0.675,27,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1
3000,0.1349,33600,18.11,0,0,0,0.832,7,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
12000,0.1677,50000,20.57,0,1,0,0.97,19,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
14400,0.089,150000,14.85,0,0,0,0.55,38,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
12000,0.1465,90000,16.56,0,2,0,0.785,36,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
11000,0.1349,48000,21.82,0,3,0,0.65,29,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
7250,0.2167,75000,24.82,0,2,1,0.912,19,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
15000,0.079,52000,9.65,0,1,0,0.067,29,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
18000,0.1991,65000,6.81,0,0,0,0.778,40,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
35000,0.1727,150000,7.51,0,1,0,0.533,31,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
10000,0.1427,68000,15.39,0,1,0,0.813,15,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
11800,0.1269,42000,9.86,0,0,0,0.748,13,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
4500,0.0603,53000,4.44,0,0,0,0.139,17,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
7000,0.1269,35000,11.35,0,2,0,0.823,26,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
9200,0.1242,60000,19.96,0,3,0,0.787,19,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
4500,0.1065,42000,5.4,0,0,0,0.783,9,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
12000,0.1629,88365,16.85,0,0,0,0.964,15,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
12000,0.1349,72000,21.33,0,1,0,0.276,19,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
12000,0.1065,62000,23.94,0,0,0,0.784,51,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
7000,0.1065,43680,5.38,0,0,0,0.781,11,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
8200,0.1942,120000,2.8,0,2,0,0.884,6,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
10500,0.1269,66000,20.73,1,2,0,0.512,26,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
7000,0.1171,39120,21.01,0,0,1,0.524,26,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
20000,0.1171,47800,10.04,0,0,0,0.463,27,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
17500,0.1727,45000,21.31,0,2,0,0.861,26,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
3500,0.0603,83000,2.31,0,0,0,0.134,28,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
6200,0.0991,25000,20.64,0,2,0,0.477,12,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1
16000,0.1758,65000,15.56,0,0,0,0.871,16,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
6000,0.089,28800,13.17,0,0,0,0.368,13,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
7200,0.0991,135000,6.12,0,0,0,0.796,18,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
9500,0.089,50000,8.18,0,0,0,0.605,13,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
18825,0.1677,38000,23.18,0,0,0,0.797,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
24000,0.1065,45000,14.8,0,0,0,0.552,9,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
6000,0.1349,80000,11.58,0,0,0,0.838,16,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
6000,0.1349,50000,15.38,0,1,0,0.915,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
2100,0.1242,30000,19.72,0,1,0,0.829,26,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
5500,0.0662,110000,9.69,0,0,0,0.219,26,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
11000,0.0662,45608,20.5,0,0,0,0.587,11,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
26800,0.2089,120000,12.15,0,0,0,0.48,18,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
8000,0.1269,35000,10.05,0,0,0,0.977,18,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
10000,0.1825,75000,24.14,0,0,0,0.963,26,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
8000,0.1171,35000,9.7,0,0,0,0.465,8,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
10000,0.089,24000,7,0,0,0,0.495,21,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
12000,0.1171,126000,13.32,0,0,0,0.541,38,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
10000,0.079,43000,25.26,0,0,0,0.372,16,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
12000,0.0991,50000,16.44,0,1,0,0.293,25,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
25000,0.1349,67000,14.15,0,0,0,0.912,21,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1
19750,0.1065,45000,22.8,0,0,0,0.542,28,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1
10000,0.0991,31200,14.81,0,0,0,0.27,19,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
13650,0.1242,66000,24.09,0,0,0,0.565,34,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
28000,0.1991,52000,20.7,0,0,0,0.876,16,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
18000,0.079,56964,27.55,0,0,0,0.766,20,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
2500,0.1427,49500,10.33,0,1,0,0.377,20,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
21000,0.203,70000,23.21,0,2,0,0.707,25,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
35000,0.089,125000,22.71,0,0,0,0.348,32,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
10000,0.0751,33000,9.75,0,1,0,0.006,19,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
7000,0.1269,30000,15.8,0,2,0,0.476,11,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
24000,0.1596,90000,9.17,0,1,0,0.712,23,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
10625,0.0751,23000,18.89,0,1,0,0.434,21,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
5000,0.1465,24000,18.3,0,2,0,0.333,9,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
8850,0.0662,62000,17.71,0,0,0,0.359,19,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
6375,0.0751,44000,4.8,0,0,0,0.58,11,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
6000,0.1171,90000,2.97,1,0,0,0.566,23,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
11100,0.0662,41000,29.85,0,1,0,0.623,18,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
10000,0.1269,56000,10.82,0,1,0,0.312,18,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
6200,0.0603,26500,18.2,0,0,0,0.16,18,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
15000,0.1864,54000,19.69,0,2,0,0.903,12,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
4200,0.1171,53000,16.91,0,0,0,0.797,22,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
14000,0.1427,52800,7.36,0,1,0,0.708,14,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
8875,0.0751,38000,23.53,0,1,0,0.621,27,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
13500,0.0991,38000,12.38,0,1,0,0.673,7,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
12000,0.0991,42000,7.83,0,2,0,0.654,16,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1
16000,0.1991,55000,15.8,0,0,0,0.724,19,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
21600,0.1942,60000,16.74,1,0,0,0.781,21,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
6000,0.1065,87000,12.86,2,0,0,0.405,22,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
8450,0.1677,25000,22.51,0,2,0,0.835,21,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
20000,0.1349,82000,17.68,0,0,0,0.614,23,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
10000,0.1171,60000,22.08,0,0,0,0.293,26,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1
12000,0.1629,80000,18.18,0,0,0,0.972,11,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
13475,0.1349,25000,21.89,0,1,0,0.658,14,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
7200,0.1242,48000,17.43,0,1,0,0.802,10,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
5600,0.1465,85000,12.24,1,3,0,0.908,31,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
12000,0.1427,57000,10.86,0,1,0,0.815,11,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
8500,0.0603,25000,1.73,0,0,0,0.28,18,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
8000,0.0991,34000,18.28,0,0,0,0.785,7,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
8000,0.1242,40000,15,0,0,0,0.882,11,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
16000,0.1527,42656.4,17.44,0,1,0,0.923,17,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
15000,0.1727,44400,3.59,1,0,1,0.916,16,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
10000,0.0991,30000,11.24,0,1,0,0.668,30,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
10000,0.0662,70000,16.78,0,0,0,0.69,18,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
8000,0.1465,28000,12.6,0,1,0,0.543,11,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
22000,0.0991,50000,13.22,0,4,0,0.498,32,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
6000,0.1427,94800,24.53,0,1,0,0.959,30,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
